LULC,C_ABOVE_MEAN,C_ABOVE_SD,C_BELOW_MEAN,C_BELOW_SD,C_SOIL_MEAN,C_SOIL_SD,C_DEAD_MEAN,C_DEAD_SD,LULC_Name
0,0,0,0,0,0,0,0,0,Water
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evergreen Needleleaf forest
2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evergreen Broadleaf forest
3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Deciduous Needleleaf forest
4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Deciduous Broadleaf forest
5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mixed forest
6,3.653333333,0.671217799,6.711173333,1.233027096,60.08333333,13.98505154,1.32,N/A,Closed shrublands/ Cerrado
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open shrublands
8,12321.29222,25157.5575,4722.62375,13244.80923,151.38,128.8608473,1843.183333,2894.5104,Woody savannas
9,11.69230769,12.83122503,18.62,10.32348225,211,N/A,1.45,0.636396103,Savannas
10,2.915,0.834605695,7.875,0.38890873,70.95,74.39012991,0.9,0.989949494,Grasslands
12,66.75,59.83489188,N/A,N/A,49.42,3.375203698,N/A,N/A,Croplands/Perennial
13,0,0,0,0,0,0,0,0,Urban and built-up
16,0,0,0,0,0,0,0,0,Barren or sparsely vegetated
120,2.4225,0.751504047,0.5475,0.414517792,50.76774194,5.913982702,2.4075,0.202875167,Soybean Croplands
