LULC,C_ABOVE_MEAN,C_ABOVE_SD,LULC_Name
0,0,0,Water
1,N/A,N/A,Evergreen Needleleaf forest
2,N/A,N/A,Evergreen Broadleaf forest
3,N/A,N/A,Deciduous Needleleaf forest
4,N/A,N/A,Deciduous Broadleaf forest
5,N/A,N/A,Mixed forest
6,3.653333333,0.671217799,Closed shrublands/ Cerrado
7,3.284166667,0.752911747,Open shrublands
8,18.32932778,11.54886511,Woody savannas
9,6.403076923,6.096417164,Savannas
10,2.915,0.834605695,Grasslands
12,2.4225,0.751504047,Croplands/Perennial
13,N/A,N/A,Urban and built-up
16,N/A,N/A,Barren or sparsely vegetated
17,8.8,3.3,Sugarcane
120,2.4225,0.751504047,Soybean Croplands
