LULC,C_ABOVE_MEAN,C_ABOVE_SD,C_BELOW_MEAN,C_BELOW_SD,C_SOIL_MEAN,C_SOIL_SD,C_DEAD_MEAN,C_DEAD_SD,LULC_Name
0,0,0,0,0,0,0,0,0,Water
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evergreen Needleleaf forest
2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evergreen Broadleaf forest
3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Deciduous Needleleaf forest
4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Deciduous Broadleaf forest
5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mixed forest
6,3.653333333,0.671217799,6.711173333,1.233027096,60.08333333,13.98505154,1.32,N/A,Closed shrublands/ Cerrado
7,3.284166667,0.752911747,7.293086667,0.810967913,65.51666667,44.18759073,1.11,N/A,Open shrublands
8,18.32932778,11.54886511,23.6013625,13.27134026,151.38,128.8608473,2.5564,1.258555108,Woody savannas
9,6.403076923,6.096417164,7.086153846,6.998567459,211,N/A,1.45,0.636396103,Savannas
10,2.915,0.834605695,7.875,0.38890873,70.95,74.39012991,0.9,0.989949494,Grasslands
12,2.4225,0.751504047,0.5475,0.414517792,50.76774194,5.913982702,2.4075,0.202875167,Croplands/Perennial
13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Urban and built-up
16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barren or sparsely vegetated
120,2.4225,0.751504047,0.5475,0.414517792,50.76774194,5.913982702,2.4075,0.202875167,Soybean Croplands
